class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,59796,0.6987055497693796,198.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,3146.0,619296.0,2095230.0,429270.0,876.0,4.0,1359270.0,0.0,0.0,0.0,0.0,0.0,2702522.0,2216246.0,568940.0,428480.0,0.0,0.0,0.0,0.0,398.0,120.0,0.0,0.0,0.0,0.0,0.0,5694.0,2032386.0,1109742.0,0.0,0.0,2276.0,824.0,1768.0,296554.0,2339808.0,506544.0,48.0,0.0,0.0,0.0,879962.0,704390.0,282140.0,252724.0,291668.0,460178.0,276760.0,0.0,0.0,0.0,3271970.0,0.0,110.0,442.0,4.0,1359270.0,42322.0,320474.0,246722.0,216360.0,206420.0,401482.09097428544,470358.82641885156,524740.3216947822,567737.480384378,603802.1070911721,628703.9812741706,139820.0,59796.73,3271970.0,3271970.0,3269324.0,22940.0,4312.0,78856.0,846200.0,3147822.0,1209600.0,96572.0,2.0,56.0,0.0,2975370.24,0.0,167764.8,0.0,0.0,0.0,0.0,0.0,36914.0,1107912.0,1615502.0,357992.0,21582.0,6762.0,1158.0,56.0,536.0,3271970.0,28.185686653771764,4594.0,586.0,18618.0,100782.0,82734.0,1745066.0,1173820.0,21570.0,52.0,0.0,396.0,414.0,2283948.0,50858.0,0.0,35178.0,0.0,22.0,2993356.0,1652.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25786.0,50540.0,10378.0,0.0,0.0,118650.0,21248.0,295900.0,57378.0,0.0,0.0,0.0,0.0,1169020.0,1607.58,1428.0,185536.0,453140.0,373648.0,170564.0,316082.0,302258.0,268584.0,262210.0,771528.0,44272.0,0.0,0.0
neg,38178,0.6987055497693796,2130706436.0,574.0,0.0,0.0,0.0,0.0,0.0,0.0,3352.0,281802.0,1464690.0,970876.0,79580.0,0.0,1159382.0,0.0,0.0,0.0,0.0,0.0,2502276.0,2183224.0,394428.0,286788.0,0.0,0.0,0.0,0.0,1276.0,254.0,0.0,0.0,0.0,0.0,0.0,34102.0,850548.0,1290628.0,625022.0,0.0,1954.0,1512.0,2778.0,625494.0,1876298.0,292240.0,24.0,0.0,0.0,0.0,948092.0,575684.0,311726.0,273950.0,275158.0,325570.0,90120.0,0.0,0.0,0.0,2896982.0,0.0,22.0,32.0,10.0,1159382.0,36168.0,215042.0,178864.0,179540.0,151060.0,401482.09097428544,470358.82641885156,524740.3216947822,567737.480384378,603802.1070911721,628703.9812741706,60540.0,38177.67,2896982.0,2896982.0,2903858.0,17984.0,2302.0,45752.0,473500.0,2800300.0,1209600.0,107150.0,2.0,56.0,0.0,2338560.96,0.0,460352.64,0.0,0.0,0.0,0.0,0.0,78004.0,281474.0,1053868.0,1226520.0,150570.0,8328.0,1536.0,6.0,10.0,2896982.0,28.185686653771764,2712.0,358.0,73474.0,322592.0,101118.0,1506954.0,776336.0,16624.0,132.0,0.0,990.0,548.0,2284846.0,1890.0,0.0,212.0,0.0,20.0,2360364.0,1602.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17896.0,28738.0,11768.0,0.0,0.0,90284.0,20322.0,6345140.0,720976.0,0.0,0.0,0.0,0.0,0.0,736.3,746.0,476708.0,635366.0,406690.0,194356.0,342552.0,231800.0,180902.0,118468.0,203728.0,9730.0,0.0,0.0
neg,60662,0.6987055497693796,142.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,14922.0,1363226.0,1852046.0,488972.0,9110.0,0.0,1682238.0,4002.0,0.0,0.0,496.0,796.0,3148402.0,2595996.0,695942.0,493186.0,0.0,0.0,0.0,0.0,254.0,74.0,0.0,0.0,0.0,0.0,0.0,717260.0,2426154.0,584862.0,0.0,0.0,1672.0,430.0,866.0,188604.0,2459704.0,1076956.0,44.0,0.0,0.0,0.0,1094772.0,1112222.0,324382.0,236454.0,201284.0,194538.0,347728.0,216532.0,364.0,0.0,3845380.0,488.0,694.0,982.0,36.0,1682238.0,50230.0,303458.0,389748.0,256180.0,189080.0,210400.0,470358.82641885156,524740.3216947822,567737.480384378,603802.1070911721,628703.9812741706,34220.0,60662.87,3845380.0,3845380.0,3836028.0,23175.0,42624.0,16918.0,210000.0,3728276.0,1209600.0,73228.0,0.0,90.0,0.0,3129960.0,0.0,596092.8,0.0,0.0,0.0,0.0,1558.0,305518.0,1931408.0,1281652.0,192858.0,12884.0,2272.0,126.0,22.0,26.0,3845380.0,28.185686653771764,4536.0,572.0,109708.0,265252.0,215698.0,2110472.0,1002382.0,19566.0,90.0,0.0,302.0,290.0,2396310.0,112710.0,0.0,17024.0,0.0,22.0,3188248.0,2532.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28562.0,63640.0,12180.0,0.0,0.0,121184.0,21002.0,1884300.0,316764.0,17116.0,1662.0,0.0,0.0,20990860.0,1046.96,1256.0,616928.0,534938.0,317890.0,161766.0,380240.0,413904.0,391956.0,326048.0,580164.0,4442.0,0.0,0.0
neg,84,0.6987055497693796,64.0,40.0,0.0,0.0,0.0,0.0,0.0,16154.0,18090.0,13956.0,5954.0,0.0,0.0,0.0,14578.0,0.0,0.0,0.0,9640.0,15738.0,45308.0,41360.0,59054.0,3138.0,4.0,0.0,0.0,0.0,400.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23542.0,30612.0,0.0,2240.0,1376.0,3054.0,4692.0,9790.0,32972.0,30.0,0.0,0.0,0.0,45056.0,7060.0,1020.0,296.0,70.0,42.0,82.0,384.0,114.0,30.0,114154.0,2.0,0.0,0.0,0.0,14578.0,854.0,43978.0,14714.0,277635.39161809604,319974.95753381564,401482.09097428544,470358.82641885156,524740.3216947822,567737.480384378,603802.1070911721,628703.9812741706,58160.0,84.58,114154.0,114154.0,114526.0,123.0,0.0,10884.0,113060.0,54154.0,1209600.0,1922.0,0.0,26.0,0.0,14711.04,11397.12,26797.44,56.0,164.0,0.0,15392.0,17486.0,10718.0,9530.0,1028.0,0.0,0.0,0.0,0.0,12.0,18.0,114154.0,28.185686653771764,1306.0,56.0,126.0,2564.0,29002.0,19834.0,1266.0,0.0,0.0,0.0,88.0,466.0,13260.0,84.0,0.0,0.0,0.0,0.0,17008.0,200.0,112.0,0.0,0.0,70.0,17700.0,0.0,0.0,0.0,0.0,1006.0,0.0,0.0,2232.0,426.0,1024.0,186.0,1560.0,156.0,5274.0,6.0,0.0,0.0,0.0,144.58,166.0,40862.0,11436.0,1168.0,280.0,200.0,88.0,54.0,66.0,0.0,0.0,0.0,0.0
neg,5142,0.6987055497693796,182.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,38902.0,190452.0,40776.0,0.0,0.0,114480.0,0.0,0.0,0.0,0.0,0.0,263894.0,251142.0,16710.0,9284.0,0.0,0.0,0.0,0.0,148.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,79402.0,191012.0,0.0,0.0,184.0,68.0,104.0,108.0,34122.0,235802.0,26.0,0.0,0.0,0.0,80142.0,146622.0,31208.0,10156.0,1594.0,342.0,264.0,86.0,0.0,0.0,280656.0,4.0,12.0,430.0,0.0,114480.0,1908.0,9184.0,7472.0,277635.39161809604,319974.95753381564,401482.09097428544,470358.82641885156,524740.3216947822,567737.480384378,603802.1070911721,628703.9812741706,16240.0,5141.52,280656.0,280656.0,285314.0,1003.0,0.0,27814.0,280060.0,270414.0,1209600.0,5238.0,0.0,6.0,0.0,258161.28,0.0,12027.84,0.0,0.0,0.0,0.0,0.0,11504.0,139066.0,112282.0,6152.0,1204.0,206.0,0.0,0.0,6.0,280656.0,28.185686653771764,362.0,40.0,1638.0,8204.0,4768.0,217682.0,34080.0,3594.0,46.0,0.0,316.0,230.0,259532.0,189010.0,0.0,4.0,0.0,44.0,259626.0,160.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954.0,808.0,352.0,0.0,0.0,3718.0,848.0,460.0,50.0,0.0,0.0,0.0,0.0,4141590.0,116.34,126.0,13626.0,21918.0,13152.0,6314.0,14482.0,200514.0,382.0,16.0,10.0,0.0,0.0,0.0
neg,1512,0.6987055497693796,0.0,192113.74490889604,0.0,0.0,0.0,0.0,0.0,0.0,202.0,7098.0,77082.0,9292.0,0.0,0.0,47904.0,0.0,0.0,0.0,0.0,0.0,88422.0,76932.0,40964.0,6132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44970.0,48704.0,0.0,0.0,394.0,784.0,1874.0,476.0,17734.0,72412.0,0.0,0.0,0.0,0.0,49920.0,32294.0,7984.0,2290.0,716.0,246.0,182.0,42.0,0.0,0.0,129450.0,4.0,216.0,60.0,2.0,47904.0,934.0,30048.0,10774.0,277635.39161809604,319974.95753381564,401482.09097428544,470358.82641885156,524740.3216947822,567737.480384378,603802.1070911721,628703.9812741706,40440.0,1512.65,129450.0,129450.0,130152.0,303.0,1044.0,12534.0,128900.0,93674.0,1209600.0,0.0,191718.3557520543,86.46257591997141,0.00040192926045016077,81396.48,0.0,11866.56,0.0,0.0,0.0,0.0,0.0,1402.0,70756.0,20492.0,570.0,402.0,52.0,0.0,191993.4280546624,0.0,129450.0,28.185686653771764,176.0,50.0,2542.0,4138.0,3096.0,64794.0,17530.0,1348.0,0.0,0.0,718.3986527862828,1133.7517277578515,1799205.596973143,303469.8810252821,206.83094217478782,18328.677499781297,7.4284839471612285,13.509972880762836,2054112.757501531,142.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.0,204.0,50.0,0.0,0.0,2004.0,410.0,157520.0,16278.0,0.0,0.0,0.0,0.0,512630.0,111.62,112.0,13150.0,12808.0,5766.0,1920.0,4618.0,54144.0,1152.0,76.0,40.0,0.0,0.0,0.0
neg,41472,0.6987055497693796,348.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,237872.0,1834858.0,1017458.0,46258.0,1360.0,1260954.0,0.0,0.0,0.0,0.0,0.0,2893152.0,2549430.0,512952.0,265244.0,0.0,0.0,0.0,0.0,208.0,54.0,0.0,0.0,0.0,0.0,0.0,129992.0,2053064.0,760090.0,194894.0,0.0,8374.0,6306.0,23304.0,131268.0,2265214.0,702620.0,954.0,0.0,0.0,0.0,1362700.0,647856.0,286978.0,230054.0,189370.0,173158.0,242198.0,5726.0,0.0,0.0,3407014.0,180.0,440.0,368.0,24.0,1260954.0,32132.0,278290.0,230746.0,197960.0,189060.0,401482.09097428544,470358.82641885156,524740.3216947822,567737.480384378,603802.1070911721,628703.9812741706,118060.0,41472.59,3407014.0,3407014.0,3400492.0,16672.0,24.0,94176.0,978640.0,3138040.0,1209600.0,83284.0,4.0,114.0,0.0,2526695.04,0.0,608595.84,0.0,0.0,0.0,0.0,0.0,21212.0,667564.0,1657844.0,752270.0,32942.0,5824.0,384.0,10.0,16.0,3407014.0,28.185686653771764,5774.0,682.0,38974.0,255664.0,208148.0,2174686.0,423566.0,30398.0,148.0,0.0,1036.0,232.0,2520876.0,67834.0,0.0,3214.0,0.0,18.0,2571534.0,2450.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19196.0,48772.0,7986.0,0.0,0.0,103534.0,12808.0,92380.0,11828.0,0.0,0.0,0.0,0.0,2309870.0,1780.68,1712.0,633944.0,595264.0,394892.0,212784.0,439564.0,465438.0,277818.0,80108.0,38224.0,4.0,0.0,0.0
neg,38500,0.6987055497693796,2130706432.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,1792.0,652970.0,1465958.0,245168.0,10038.0,0.0,993378.0,0.0,0.0,0.0,0.0,0.0,2148380.0,1879906.0,345118.0,226094.0,0.0,0.0,0.0,0.0,206.0,52.0,0.0,0.0,0.0,0.0,0.0,52858.0,1116448.0,722080.0,484540.0,0.0,2846.0,176.0,412.0,688.0,9936.0,2360916.0,952.0,0.0,0.0,0.0,600720.0,656526.0,223398.0,176922.0,151628.0,132780.0,193512.0,239920.0,520.0,0.0,2493764.0,330.0,24.0,110.0,4.0,993378.0,26764.0,216160.0,128060.0,151600.0,177860.0,401482.09097428544,470358.82641885156,524740.3216947822,567737.480384378,603802.1070911721,628703.9812741706,11760.0,38499.84,2493764.0,2493764.0,2502746.0,17335.0,22698.0,5116.0,70260.0,2375926.0,1209600.0,70658.0,2.0,60.0,0.0,2071706.88,0.0,300714.24,0.0,744.0,0.0,0.0,0.0,173090.0,901684.0,1159096.0,130702.0,8760.0,2520.0,74.0,100.0,104.0,2493764.0,28.185686653771764,4866.0,382.0,80374.0,141656.0,168228.0,1704652.0,269236.0,6528.0,4.0,0.0,218.0,172.0,1914212.0,5990.0,0.0,28.0,0.0,12.0,2090708.0,1896.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15268.0,34162.0,12164.0,0.0,0.0,51518.0,10120.0,5583360.0,754254.0,0.0,0.0,0.0,0.0,0.0,792.94,842.0,314586.0,405850.0,288652.0,139276.0,233888.0,192438.0,231602.0,235378.0,319016.0,15240.0,0.0,0.0
neg,12,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5210.0,2298.0,0.0,0.0,0.0,2538.0,0.0,32.0,0.0,0.0,0.0,18558.0,16658.0,13432.0,304.0,0.0,0.0,0.0,0.0,16.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7518.0,0.0,1156.0,4.0,6.0,14.0,12.0,1804.0,4522.0,0.0,0.0,0.0,5996.0,326.0,286.0,68.0,526.0,120.0,160.0,32.0,2.0,2.0,31994.0,24.0,14.0,48.0,0.0,2538.0,112.0,12606.0,756.0,277635.39161809604,319974.95753381564,401482.09097428544,470358.82641885156,524740.3216947822,567737.480384378,603802.1070911721,628703.9812741706,13340.0,11.24,31994.0,31994.0,32956.0,26.0,0.0,3128.0,31860.0,7536.0,1209600.0,160.0,0.0,0.0,0.0,1177.92,24.0,5194.56,0.0,8.0,0.0,0.0,0.0,4534.0,2650.0,322.0,12.0,0.0,0.0,0.0,0.0,4.0,31994.0,0.0,1148.0,6.0,4.0,188.0,3618.0,1614.0,692.0,242.0,6.0,0.0,6.0,40.0,918.0,64.0,0.0,0.0,0.0,0.0,1240.0,22.0,88.0,0.0,0.0,10.0,142.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,28.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.7,20.0,6412.0,728.0,120.0,32.0,66.0,46.0,44.0,70.0,0.0,0.0,0.0,0.0
neg,26,0.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,2252.0,3760.0,1894.0,1210.0,0.0,0.0,0.0,2414.0,0.0,140.0,0.0,2480.0,4370.0,11678.0,11122.0,18954.0,900.0,0.0,0.0,0.0,0.0,26.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,8654.0,0.0,110.0,6.0,50.0,534.0,484.0,1294.0,4218.0,2102.0,318.0,0.0,7074.0,882.0,264.0,164.0,196.0,54.0,342.0,54.0,24.0,62.0,33136.0,0.0,4.0,0.0,0.0,2414.0,150.0,15818.0,3112.0,277635.39161809604,319974.95753381564,401482.09097428544,470358.82641885156,524740.3216947822,567737.480384378,603802.1070911721,628703.9812741706,18760.0,25.24,33136.0,33136.0,33984.0,34.0,0.0,3184.0,32940.0,9152.0,1209600.0,404.0,2.0,0.0,0.0,2956.8,64.32,5118.72,4.0,16.0,0.0,2210.0,3132.0,1388.0,1528.0,850.0,8.0,0.0,0.0,0.0,0.0,74.0,33136.0,0.0,1080.0,14.0,16.0,8.0,36.0,1686.0,5430.0,782.0,64.0,0.0,20.0,180.0,3426.0,380.0,0.0,0.0,0.0,0.0,3446.0,50.0,68.0,0.0,0.0,30.0,86.0,0.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,114.0,42.0,9220.0,942.0,0.0,26.0,0.0,0.0,0.0,84.82,42.0,6224.0,1950.0,718.0,82.0,106.0,12.0,14.0,10.0,0.0,0.0,0.0,0.0
