class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,29634,0.6987055497693796,72.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,8018.0,1289848.0,349442.0,31782.0,358.0,837596.0,0.0,0.0,0.0,0.0,0.0,1576652.0,1471154.0,164992.0,84902.0,0.0,0.0,0.0,0.0,146.0,32.0,0.0,0.0,0.0,0.0,0.0,65842.0,554566.0,1000256.0,59168.0,0.0,1174.0,562.0,988.0,14706.0,1052796.0,609332.0,274.0,0.0,0.0,0.0,520564.0,497622.0,226422.0,136132.0,90826.0,63332.0,62764.0,82168.0,2.0,0.0,1741808.0,136.0,82.0,404.0,0.0,837596.0,16050.0,90840.0,73776.0,115180.0,319974.95753381564,401482.09097428544,470358.82641885156,524740.3216947822,567737.480384378,603802.1070911721,628703.9812741706,47320.0,29633.73,1741808.0,1741808.0,1745636.0,10394.0,4582.0,51836.0,529440.0,1679832.0,1209600.0,40566.0,0.0,32.0,0.0,1546095.36,0.0,132791.04,0.0,0.0,0.0,0.0,0.0,294.0,391956.0,1045984.0,224554.0,13694.0,3080.0,270.0,4.0,8.0,1741808.0,28.185686653771768,1848.0,244.0,7652.0,92712.0,40218.0,766558.0,760200.0,10308.0,92.0,0.0,98.0,102.0,1485260.0,106598.0,36.0,24218.0,0.0,0.0,1552168.0,742.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7328.0,16450.0,3164.0,0.0,0.0,42766.0,7100.0,175220.0,37620.0,0.0,0.0,0.0,0.0,0.0,509.02,546.0,139222.0,245612.0,160054.0,72156.0,221804.0,334512.0,244266.0,135182.0,121688.0,5336.0,0.0,0.0
neg,1978,0.6987055497693796,210.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,28242.0,96944.0,35548.0,84.0,0.0,0.0,72294.0,0.0,0.0,0.0,0.0,0.0,146416.0,125068.0,35468.0,10936.0,0.0,0.0,0.0,0.0,60.0,18.0,0.0,0.0,0.0,0.0,0.0,6472.0,132290.0,6496.0,15560.0,0.0,380.0,92.0,120.0,82.0,728.0,159386.0,30.0,0.0,0.0,0.0,71782.0,48676.0,22378.0,10184.0,5236.0,2098.0,462.0,2.0,0.0,0.0,182024.0,0.0,16.0,74.0,0.0,72294.0,2294.0,14802.0,20420.0,277635.39161809604,319974.95753381564,401482.09097428544,470358.82641885156,524740.3216947822,567737.480384378,603802.1070911721,628703.9812741706,34400.0,1977.43,182024.0,182024.0,182074.0,406.0,6.0,17382.0,180800.0,160818.0,1209600.0,3528.0,0.0,22.0,0.0,117016.32,0.0,43416.96,0.0,42.0,0.0,0.0,12448.0,99988.0,34004.0,12704.0,1492.0,182.0,0.0,0.0,0.0,4.0,182024.0,28.185686653771768,610.0,78.0,138.0,6364.0,3792.0,66572.0,79914.0,3348.0,2.0,0.0,248.0,38.0,116780.0,28016.0,0.0,680.0,0.0,0.0,121212.0,332.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1534.0,576.0,216.0,0.0,0.0,4086.0,706.0,3440.0,344.0,0.0,0.0,0.0,0.0,834050.0,245.8,248.0,46558.0,23436.0,8186.0,5082.0,27272.0,48206.0,678.0,376.0,998.0,26.0,0.0,0.0
neg,806,0.6987055497693796,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,20000.0,29936.0,126.0,0.0,0.0,21176.0,0.0,0.0,0.0,0.0,0.0,48862.0,45150.0,7600.0,2128.0,0.0,0.0,0.0,0.0,20.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,38594.0,11534.0,0.0,0.0,66.0,4.0,18.0,12.0,398.0,49428.0,202.0,0.0,0.0,0.0,25784.0,18358.0,4826.0,884.0,146.0,60.0,56.0,14.0,0.0,0.0,56476.0,0.0,126.0,32.0,2.0,21176.0,382.0,4156.0,3426.0,277635.39161809604,319974.95753381564,401482.09097428544,470358.82641885156,524740.3216947822,567737.480384378,603802.1070911721,628703.9812741706,7480.0,805.41,56476.0,56476.0,59880.0,152.0,248.0,5532.0,56320.0,50128.0,1209600.0,920.0,0.0,2.0,0.0,41016.96,0.0,9049.92,0.0,0.0,0.0,0.0,0.0,9420.0,33694.0,6952.0,62.0,0.0,0.0,0.0,0.0,6.0,56476.0,28.185686653771768,106.0,8.0,324.0,2238.0,630.0,9676.0,35482.0,1412.0,252.0,0.0,12.0,62.0,4948.0,31234.0,0.0,884.0,0.0,22.0,41558.0,64.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,78.0,30.0,0.0,0.0,640.0,114.0,91240.0,9598.0,0.0,0.0,0.0,0.0,0.0,42.44,42.0,9786.0,4240.0,1478.0,388.0,1082.0,32748.0,398.0,8.0,0.0,0.0,0.0,0.0
neg,2196,0.6987055497693796,194.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,12878.0,155380.0,7786.0,0.0,0.0,72640.0,0.0,0.0,0.0,0.0,0.0,166198.0,154128.0,19684.0,8084.0,0.0,0.0,0.0,0.0,106.0,320.0,0.0,0.0,0.0,0.0,0.0,6226.0,145470.0,7994.0,16510.0,0.0,224.0,82.0,112.0,122.0,33168.0,142488.0,4.0,0.0,0.0,0.0,117532.0,48318.0,9170.0,1014.0,108.0,34.0,12.0,12.0,0.0,0.0,185944.0,368.0,30.0,1370.0,0.0,72640.0,1858.0,9266.0,10356.0,277635.39161809604,319974.95753381564,401482.09097428544,470358.82641885156,524740.3216947822,567737.480384378,603802.1070911721,628703.9812741706,19320.0,2195.97,185944.0,185944.0,189966.0,423.0,334.0,18316.0,185360.0,176200.0,1209600.0,4534.0,0.0,12.0,0.0,137899.2,0.0,38107.2,0.0,0.0,0.0,0.0,0.0,3122.0,118848.0,52244.0,1568.0,392.0,26.0,0.0,0.0,6.0,185944.0,28.185686653771768,300.0,52.0,76.0,37850.0,6978.0,53218.0,74644.0,3062.0,20.0,0.0,210.0,496.0,133778.0,54376.0,30.0,2.0,0.0,0.0,138892.0,196.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,894.0,686.0,180.0,0.0,0.0,4308.0,690.0,3380.0,338.0,0.0,0.0,0.0,0.0,1195970.0,148.94,100.0,40676.0,35552.0,14414.0,10240.0,19494.0,54312.0,1440.0,60.0,12.0,0.0,0.0,0.0
neg,1082,0.6987055497693796,74.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,27772.0,35950.0,1724.0,0.0,0.0,26986.0,0.0,0.0,0.0,0.0,0.0,68474.0,63466.0,8788.0,3076.0,0.0,0.0,0.0,0.0,58.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,51526.0,13984.0,0.0,0.0,104.0,14.0,20.0,36.0,12620.0,52714.0,2.0,0.0,0.0,0.0,24128.0,29620.0,7944.0,3304.0,396.0,68.0,20.0,28.0,0.0,0.0,77278.0,0.0,190.0,34.0,0.0,26986.0,532.0,5066.0,3708.0,277635.39161809604,319974.95753381564,401482.09097428544,470358.82641885156,524740.3216947822,567737.480384378,603802.1070911721,628703.9812741706,8620.0,1082.2,77278.0,77278.0,81264.0,228.0,0.0,7586.0,77080.0,65526.0,1209600.0,1352.0,0.0,6.0,0.0,56153.28,0.0,9281.28,0.0,0.0,0.0,0.0,0.0,6948.0,46384.0,11900.0,204.0,52.0,22.0,0.0,0.0,4.0,77278.0,28.185686653771768,142.0,16.0,2416.0,1404.0,1088.0,7420.0,50818.0,2110.0,94.0,0.0,110.0,170.0,57016.0,40744.0,0.0,0.0,0.0,18.0,57084.0,68.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,314.0,106.0,0.0,0.0,702.0,128.0,300.0,30.0,0.0,0.0,0.0,0.0,82270.0,83.5,48.0,10066.0,5796.0,1980.0,1236.0,5432.0,40952.0,32.0,14.0,2.0,0.0,0.0,0.0
neg,1848,0.6987055497693796,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,34034.0,76084.0,722.0,0.0,0.0,51116.0,0.0,0.0,0.0,0.0,0.0,106406.0,98728.0,13482.0,4838.0,0.0,0.0,0.0,0.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,8078.0,84052.0,3572.0,15288.0,0.0,140.0,32.0,48.0,80.0,4012.0,106586.0,92.0,0.0,0.0,0.0,54516.0,39470.0,11552.0,4456.0,650.0,226.0,110.0,10.0,0.0,0.0,119922.0,128.0,18.0,980.0,2.0,51116.0,1128.0,6760.0,6696.0,277635.39161809604,319974.95753381564,401482.09097428544,470358.82641885156,524740.3216947822,567737.480384378,603802.1070911721,628703.9812741706,13160.0,1848.09,119922.0,119922.0,126480.0,395.0,0.0,11804.0,119620.0,110990.0,1209600.0,2192.0,0.0,6.0,0.0,97813.44,0.0,13055.04,0.0,0.0,0.0,0.0,0.0,12676.0,79748.0,17332.0,974.0,244.0,16.0,0.0,4.0,8.0,119922.0,28.185686653771768,230.0,40.0,1000.0,3232.0,3754.0,51542.0,50376.0,802.0,14.0,0.0,30.0,146.0,97424.0,57748.0,14.0,10.0,0.0,0.0,98402.0,74.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.0,456.0,132.0,0.0,0.0,1404.0,316.0,660.0,66.0,0.0,0.0,0.0,0.0,848100.0,112.96,72.0,13872.0,9938.0,9254.0,5490.0,20670.0,50296.0,1436.0,34.0,0.0,0.0,0.0,0.0
neg,39796,0.6987055497693796,112.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,1432.0,2009096.0,608626.0,13622.0,732.0,1206538.0,0.0,0.0,0.0,0.0,0.0,2442880.0,2243764.0,310684.0,141630.0,0.0,0.0,0.0,0.0,368.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,126348.0,1363162.0,1144106.0,0.0,1880.0,1306.0,1842.0,48038.0,2225510.0,355034.0,6.0,0.0,0.0,0.0,877798.0,767490.0,422668.0,258182.0,139366.0,74268.0,47520.0,46148.0,176.0,0.0,2754140.0,162.0,254.0,76.0,0.0,1206538.0,28186.0,139818.0,170230.0,118320.0,155760.0,401482.09097428544,470358.82641885156,524740.3216947822,567737.480384378,603802.1070911721,628703.9812741706,31440.0,39796.65,2754140.0,2754140.0,2757920.0,14125.0,5242.0,30030.0,329160.0,2633616.0,1209600.0,63612.0,0.0,82.0,0.0,2316207.36,0.0,315598.08,0.0,0.0,0.0,0.0,0.0,380.0,743452.0,1662552.0,209786.0,14576.0,2824.0,46.0,2.0,8.0,2754140.0,28.185686653771768,4090.0,466.0,24852.0,173182.0,120716.0,1679906.0,619604.0,10754.0,46.0,0.0,172.0,148.0,2082216.0,25928.0,80.0,2284.0,0.0,0.0,2349644.0,1756.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13060.0,30236.0,4738.0,0.0,0.0,79740.0,12022.0,1158060.0,136906.0,0.0,0.0,0.0,0.0,0.0,1079.68,1110.0,339754.0,529862.0,313594.0,133506.0,376336.0,375018.0,311840.0,163996.0,87866.0,1844.0,0.0,0.0
neg,334,0.6987055497693796,58.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,26480.0,7344.0,0.0,0.0,13122.0,0.0,0.0,0.0,0.0,0.0,35730.0,29570.0,8826.0,2934.0,0.0,0.0,0.0,0.0,68.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,33760.0,174.0,0.0,0.0,138.0,48.0,48.0,138.0,24062.0,9498.0,2.0,0.0,0.0,0.0,21390.0,9642.0,2468.0,324.0,80.0,22.0,8.0,0.0,0.0,0.0,44580.0,12.0,38.0,50.0,0.0,13122.0,532.0,2462.0,6330.0,277635.39161809604,319974.95753381564,401482.09097428544,470358.82641885156,524740.3216947822,567737.480384378,603802.1070911721,628703.9812741706,8580.0,333.4,44580.0,44580.0,48006.0,87.0,60.0,4226.0,44240.0,33934.0,1209600.0,1364.0,2.0,12.0,0.0,22784.64,0.0,11051.52,0.0,0.0,0.0,0.0,0.0,0.0,22120.0,10894.0,832.0,70.0,18.0,0.0,2.0,6.0,44580.0,28.185686653771768,236.0,24.0,44.0,2108.0,1022.0,10484.0,18620.0,1336.0,60.0,0.0,78.0,156.0,23432.0,8140.0,0.0,12.0,0.0,14.0,23734.0,138.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,138.0,18.0,0.0,0.0,666.0,144.0,120080.0,12692.0,0.0,0.0,0.0,0.0,0.0,73.98,80.0,12206.0,7522.0,1298.0,510.0,2196.0,10154.0,42.0,6.0,0.0,0.0,0.0,0.0
neg,176,0.6987055497693796,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,976.0,21706.0,14098.0,116.0,0.0,12540.0,0.0,0.0,0.0,0.0,0.0,35892.0,29178.0,16500.0,2848.0,0.0,0.0,0.0,0.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,37090.0,0.0,0.0,0.0,242.0,104.0,154.0,1398.0,22578.0,12610.0,4.0,0.0,0.0,0.0,31940.0,4050.0,840.0,166.0,62.0,14.0,18.0,0.0,0.0,0.0,52416.0,20.0,68.0,116.0,0.0,12540.0,534.0,9338.0,7120.0,277635.39161809604,319974.95753381564,401482.09097428544,470358.82641885156,524740.3216947822,567737.480384378,603802.1070911721,628703.9812741706,16100.0,175.3,52416.0,52416.0,54126.0,62.0,20.0,4960.0,52060.0,37090.0,1209600.0,1446.0,0.0,6.0,0.0,14461.44,0.0,22510.08,0.0,0.0,0.0,0.0,0.0,1392.0,10268.0,17848.0,7332.0,236.0,14.0,0.0,0.0,4.0,52416.0,28.185686653771768,316.0,22.0,166.0,3236.0,4356.0,14848.0,12802.0,1276.0,68.0,0.0,34.0,28.0,13708.0,5304.0,34.0,116.0,0.0,0.0,15386.0,116.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,62.0,12.0,0.0,0.0,628.0,130.0,1860.0,222.0,0.0,0.0,0.0,0.0,0.0,138.56,102.0,23282.0,6468.0,1770.0,912.0,1554.0,3060.0,26.0,18.0,0.0,0.0,0.0,0.0
neg,2172,0.6987055497693796,66.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,12528.0,67632.0,66492.0,630.0,0.0,63018.0,0.0,0.0,0.0,0.0,0.0,141756.0,130354.0,23330.0,5788.0,0.0,0.0,0.0,0.0,148.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,64458.0,81934.0,1048.0,0.0,1308.0,80.0,116.0,300.0,111508.0,34124.0,4.0,0.0,0.0,0.0,85498.0,47672.0,10378.0,2894.0,478.0,170.0,338.0,12.0,0.0,0.0,165136.0,12.0,22.0,482.0,0.0,63018.0,1306.0,13052.0,10236.0,277635.39161809604,319974.95753381564,401482.09097428544,470358.82641885156,524740.3216947822,567737.480384378,603802.1070911721,628703.9812741706,22800.0,2172.95,165136.0,165136.0,168024.0,425.0,0.0,16158.0,164540.0,147440.0,1209600.0,2732.0,0.0,16.0,0.0,114978.24,0.0,31231.68,0.0,0.0,0.0,0.0,0.0,8114.0,39118.0,74186.0,25224.0,662.0,136.0,0.0,0.0,4.0,165136.0,28.185686653771768,1422.0,34.0,970.0,7470.0,5058.0,77480.0,52750.0,2250.0,6.0,0.0,80.0,298.0,114482.0,87404.0,0.0,6.0,0.0,0.0,116652.0,166.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824.0,418.0,170.0,0.0,0.0,786.0,166.0,2620.0,264.0,0.0,0.0,0.0,0.0,1165870.0,161.48,110.0,33708.0,12948.0,5724.0,3982.0,15942.0,75018.0,118.0,0.0,0.0,0.0,0.0,0.0
